Created by Online2PDF.com,,,,,,,,,,
TABEL BUKU INDUK,,,,,,,,,,
Ex JAKARTA - EFEKTIF: 15 APRIL 2013,,,,,,,,,,
Wilayah Kota,,,,,,,,,,
abc,,,,,,,,,,
Coding,,Kabupaten,Kecamatan,City Code,,,OKE,,TARIF YES,Page
,,,,,TARIF,ETD,TARIF,ETD,,
,,,,,,,,,,
BDJ20200,,Barito Kuala,Marabahan,BDJ,42000,3 - 5,36000,5 - 7,-,3
BDJ20201,,Barito Kuala,Alalak,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20202,,Barito Kuala,Anjir Pasar,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20203,,Barito Kuala,Anjir Muara,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20204,,Barito Kuala,Barambai,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20205,,Barito Kuala,Belawang,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20206,,Barito Kuala,Cerbon,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20207,,Barito Kuala,Kuripan,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20208,,Barito Kuala,Mandastana,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20209,,Barito Kuala,Mekar Sari,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20210,,Barito Kuala,Rantau Badauh,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20211,,Barito Kuala,Tabunganen,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20212,,Barito Kuala,Tabukan,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20213,,Barito Kuala,Tamban,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20214,,Barito Kuala,Bakumpai,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20215,,Barito Kuala,Wanaraya,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20300,,Banjar,Martapura,BDJ,42000,3 - 5,36000,5 - 7,-,3
BDJ20301,,Banjar,Aluh Aluh,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20302,,Banjar,Astambul,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20303,,Banjar,Gambut,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20304,,Banjar,Karang Intan,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20305,,Banjar,Kertak Hanyar,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20306,,Banjar,Pengaron,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20307,,Banjar,Simpang Empat,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20308,,Banjar,Sungai Tabuk,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20309,,Banjar,Sungai Pinang,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20310,,Banjar,Aranio,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20311,,Banjar,Mataraman,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20400,,Tanah Laut,Pelaihari,BDJ,42000,3 - 5,36000,5 - 7,-,3
BDJ20401,,Tanah Laut,Bati-Bati,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20402,,Tanah Laut,Jorong,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20403,,Tanah Laut,Kintap,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20404,,Tanah Laut,Kurau,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20405,,Tanah Laut,Panyipatan,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20406,,Tanah Laut,Takisung,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20407,,Tanah Laut,Batu Ampar,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20408,,Tanah Laut,Tambang Ulang,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20500,,Tampin,Rantau,BDJ,42000,3 - 5,36000,5 - 7,-,3
BDJ20501,,Tampin,Bakarangan,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20502,,Tampin,Binuang,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20503,,Tampin,Bungur,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20504,,Tampin,Candi Laras Utara,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20505,,Tampin,Candi Laras Selatan,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20506,,Tampin,Hatungun,BDJ,42000,3 - 5,36000,5 - 7,-,3
BDJ20507,,Tampin,Lokpaikat,BDJ,53000,5 - 7,45000,6 - 8,-,3
